away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,winning_pitcher,summary,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Cole Sands,N,,Top,JetBlue Park,2022-03-17T17:05:00Z,142,2022-03-17,4309,9,Final,Minnesota Twins,Michael Feliz,Michael Feliz,2022-03-17 - Minnesota Twins (1) @ Boston Red Sox (14) (Final),S,1,Boston Red Sox,707019,Boston Red Sox,14,1,,111,Minnesota Twins,BOS wins Spring,Cole Sands,"['MLBN', 'MLB.tv Free Game']"
,Devin Smeltzer,N,,Top,CoolToday Park,2022-03-18T17:05:00Z,142,2022-03-18,5380,9,Final,Minnesota Twins,Bryce Elder,Bryce Elder,2022-03-18 - Minnesota Twins (1) @ Atlanta Braves (3) (Final),S,1,Atlanta Braves,707037,Atlanta Braves,3,1,Jasseel De La Cruz,144,Minnesota Twins,ATL wins Spring,Jovani Moran,[]
,Nick Pivetta,N,,Bottom,Hammond Stadium,2022-03-19T17:05:00Z,111,2022-03-19,2862,9,Final,Boston Red Sox,Bailey Ober,Zack Kelly,2022-03-19 - Boston Red Sox (1) @ Minnesota Twins (0) (Final),S,1,Minnesota Twins,706907,Boston Red Sox,0,1,Thomas Pannone,142,Minnesota Twins,BOS wins Spring,Cody Stashak,['MLB.tv Free Game']
,Colby White,N,,Top,Hammond Stadium,2022-03-20T17:05:00Z,139,2022-03-20,2862,9,Final,Tampa Bay Rays,Dylan Bundy,Taylor Rogers,2022-03-20 - Tampa Bay Rays (0) @ Minnesota Twins (3) (Final),S,0,Minnesota Twins,706905,Minnesota Twins,3,1,Wladimir Pinto,142,Tampa Bay Rays,MIN wins Spring,Chris Muller,['MLB.tv Free Game']
,Chi Chi Gonzalez,N,,Top,Ed Smith Stadium,2022-03-21T17:05:00Z,142,2022-03-21,2508,9,Final,Minnesota Twins,Tyler Wells,Diogenes Almengo,2022-03-21 - Minnesota Twins (8) @ Baltimore Orioles (10) (Final),S,8,Baltimore Orioles,707031,Baltimore Orioles,10,1,Bryan Baker,110,Minnesota Twins,BAL wins Spring,Drew Strotman,[]
,Max Fried,N,,Bottom,Hammond Stadium,2022-03-22T17:05:00Z,144,2022-03-22,2862,9,Final,Atlanta Braves,Joe Ryan,Huascar Ynoa,2022-03-22 - Atlanta Braves (4) @ Minnesota Twins (0) (Final),S,4,Minnesota Twins,706906,Atlanta Braves,0,1,,142,Minnesota Twins,ATL wins Spring,Cole Sands,['MLB.tv Free Game']
,Josh Winder,N,,Bottom,JetBlue Park,2022-03-23T17:05:00Z,142,2022-03-23,4309,9,Final,Minnesota Twins,Nathan Eovaldi,Jake Faria,2022-03-23 - Minnesota Twins (10) @ Boston Red Sox (4) (Final),S,10,Boston Red Sox,707018,Minnesota Twins,4,1,,111,Boston Red Sox,MIN wins Spring,Connor Seabold,['MLB.tv Free Game']
,Drew Rasmussen,N,,Top,Hammond Stadium,2022-03-24T17:05:00Z,139,2022-03-24,2862,9,Final,Tampa Bay Rays,Bailey Ober,Bailey Ober,2022-03-24 - Tampa Bay Rays (1) @ Minnesota Twins (7) (Final),S,1,Minnesota Twins,706904,Minnesota Twins,7,1,,142,Tampa Bay Rays,MIN wins Spring,Drew Rasmussen,['MLB.tv Free Game']
,Dylan Bundy,N,,Bottom,LECOM Park,2022-03-25T17:05:00Z,142,2022-03-25,2526,9,Final,Minnesota Twins,Bryse Wilson,Beau Sulser,2022-03-25 - Minnesota Twins (1) @ Pittsburgh Pirates (2) (Final),S,1,Pittsburgh Pirates,706860,Pittsburgh Pirates,2,1,,134,Minnesota Twins,PIT wins Spring,Lewis Thorpe,[]
,Chi Chi Gonzalez,N,,Top,CoolToday Park,2022-03-26T17:05:00Z,142,2022-03-26,5380,9,Final,Minnesota Twins,Tucker Davidson,Brad Brach,2022-03-26 - Minnesota Twins (6) @ Atlanta Braves (8) (Final),S,6,Atlanta Braves,707036,Atlanta Braves,8,1,Jake Higginbotham,144,Minnesota Twins,ATL wins Spring,Steven Cruz,[]
,Garrett Whitlock,N,,Top,Hammond Stadium,2022-03-27T17:05:00Z,111,2022-03-27,2862,9,Final,Boston Red Sox,Joe Ryan,Devin Smeltzer,2022-03-27 - Boston Red Sox (3) @ Minnesota Twins (6) (Final),S,3,Minnesota Twins,706903,Minnesota Twins,6,1,,142,Boston Red Sox,MIN wins Spring,Hirokazu Sawamura,[]
,Bailey Ober,N,,Top,Charlotte Sports Park,2022-03-29T17:05:00Z,142,2022-03-29,2534,9,Final,Minnesota Twins,Drew Rasmussen,J.P. Feyereisen,2022-03-29 - Minnesota Twins (2) @ Tampa Bay Rays (4) (Final),S,2,Tampa Bay Rays,706815,Tampa Bay Rays,4,1,Jason Adam,139,Minnesota Twins,TB wins Spring,Trevor Megill,[]
,Bryse Wilson,N,,Top,Hammond Stadium,2022-03-30T17:05:00Z,134,2022-03-30,2862,9,Final,Pittsburgh Pirates,Josh Winder,Taylor Rogers,2022-03-30 - Pittsburgh Pirates (4) @ Minnesota Twins (9) (Final),S,4,Minnesota Twins,706902,Minnesota Twins,9,1,,142,Pittsburgh Pirates,MIN wins Spring,Bryse Wilson,[]
,Dylan Bundy,N,,Top,JetBlue Park,2022-03-31T17:05:00Z,142,2022-03-31,4309,9,Final,Minnesota Twins,Michael Wacha,Derek Holland,2022-03-31 - Minnesota Twins (3) @ Boston Red Sox (4) (Final),S,3,Boston Red Sox,707016,Boston Red Sox,4,1,Phillips Valdez,111,Minnesota Twins,BOS wins Spring,Cody Laweryson,[]
,Max Fried,N,,Top,Hammond Stadium,2022-04-01T17:05:00Z,144,2022-04-01,2862,9,Final,Atlanta Braves,Chris Archer,Joe Smith,2022-04-01 - Atlanta Braves (7) @ Minnesota Twins (8) (Final),S,7,Minnesota Twins,706901,Minnesota Twins,8,1,Osiris German,142,Atlanta Braves,MIN wins Spring,Max Fried,[]
,Devin Smeltzer,N,,Bottom,Charlotte Sports Park,2022-04-02T17:05:00Z,142,2022-04-02,2534,9,Final,Minnesota Twins,Shane McClanahan,Devin Smeltzer,2022-04-02 - Minnesota Twins (8) @ Tampa Bay Rays (2) (Final),S,8,Tampa Bay Rays,706811,Minnesota Twins,2,1,,139,Tampa Bay Rays,MIN wins Spring,Shane McClanahan,[]
,Dean Kremer,N,,Top,Hammond Stadium,2022-04-03T17:05:00Z,110,2022-04-03,2862,9,Final,Baltimore Orioles,Sonny Gray,Sonny Gray,2022-04-03 - Baltimore Orioles (2) @ Minnesota Twins (8) (Final),S,2,Minnesota Twins,706900,Minnesota Twins,8,1,,142,Baltimore Orioles,MIN wins Spring,Dean Kremer,[]
,Tanner Houck,N,,Top,Hammond Stadium,2022-04-04T17:05:00Z,111,2022-04-04,2862,9,Final,Boston Red Sox,Bailey Ober,Bailey Ober,2022-04-04 - Boston Red Sox (0) @ Minnesota Twins (2) (Final),S,0,Minnesota Twins,706898,Minnesota Twins,2,1,Simeon Woods Richardson,142,Boston Red Sox,MIN leads 1-0,Tanner Houck,[]
,Josh Winder,N,,Top,JetBlue Park,2022-04-05T17:05:00Z,142,2022-04-05,4309,9,Final,Minnesota Twins,Michael Wacha,Hansel Robles,2022-04-05 - Minnesota Twins (6) @ Boston Red Sox (10) (Final),S,6,Boston Red Sox,707010,Boston Red Sox,10,1,,111,Minnesota Twins,Series tied 1-1,Griffin Jax,[]
,Robbie Ray,N,,,Target Field,2022-04-07T20:10:00Z,136,2022-04-07,3312,,Postponed,Seattle Mariners,Joe Ryan,,2022-04-07 - Seattle Mariners @ Minnesota Twins (Postponed),R,0,Minnesota Twins,661750,,0,1,,142,,SEA leads 1-0,,[]
,Robbie Ray,N,,Bottom,Target Field,2022-04-08T20:10:00Z,136,2022-04-08,3312,9,Final,Seattle Mariners,Joe Ryan,Robbie Ray,2022-04-08 - Seattle Mariners (2) @ Minnesota Twins (1) (Final),R,2,Minnesota Twins,661750,Seattle Mariners,1,1,Drew Steckenrider,142,Minnesota Twins,SEA leads 1-0,Joe Ryan,[]
,Logan Gilbert,N,,Bottom,Target Field,2022-04-09T18:10:00Z,136,2022-04-09,3312,9,Final,Seattle Mariners,Sonny Gray,Andres Munoz,2022-04-09 - Seattle Mariners (4) @ Minnesota Twins (3) (Final),R,4,Minnesota Twins,661756,Seattle Mariners,3,1,Diego Castillo,142,Minnesota Twins,SEA leads 2-0,Tyler Duffey,[]
,Marco Gonzales,N,,Top,Target Field,2022-04-10T18:10:00Z,136,2022-04-10,3312,9,Final,Seattle Mariners,Bailey Ober,Bailey Ober,2022-04-10 - Seattle Mariners (4) @ Minnesota Twins (10) (Final),R,4,Minnesota Twins,661738,Minnesota Twins,10,1,,142,Seattle Mariners,SEA leads 2-1,Marco Gonzales,[]
,Chris Flexen,N,,Top,Target Field,2022-04-11T23:40:00Z,136,2022-04-11,3312,9,Final,Seattle Mariners,Dylan Bundy,Dylan Bundy,2022-04-11 - Seattle Mariners (0) @ Minnesota Twins (4) (Final),R,0,Minnesota Twins,661754,Minnesota Twins,4,1,,142,Seattle Mariners,Series tied 2-2,Chris Flexen,[]
,Andrew Heaney,N,,Bottom,Target Field,2022-04-12T23:40:00Z,119,2022-04-12,3312,9,Final,Los Angeles Dodgers,Chris Archer,Daniel Hudson,2022-04-12 - Los Angeles Dodgers (7) @ Minnesota Twins (2) (Final),R,7,Minnesota Twins,661753,Los Angeles Dodgers,2,1,,142,Minnesota Twins,LAD leads 1-0,Emilio Pagan,[]
,Clayton Kershaw,N,,Bottom,Target Field,2022-04-13T17:10:00Z,119,2022-04-13,3312,9,Final,Los Angeles Dodgers,Chris Paddack,Clayton Kershaw,2022-04-13 - Los Angeles Dodgers (7) @ Minnesota Twins (0) (Final),R,7,Minnesota Twins,661734,Los Angeles Dodgers,0,1,,142,Minnesota Twins,LAD wins 2-0,Chris Paddack,[]
,Joe Ryan,N,,Bottom,Fenway Park,2022-04-15T18:10:00Z,142,2022-04-15,3,9,Final,Minnesota Twins,Nick Pivetta,Joe Ryan,2022-04-15 - Minnesota Twins (8) @ Boston Red Sox (4) (Final),R,8,Boston Red Sox,663265,Minnesota Twins,4,1,,111,Boston Red Sox,MIN leads 1-0,Nick Pivetta,[]
,Sonny Gray,N,,Top,Fenway Park,2022-04-16T20:10:00Z,142,2022-04-16,3,9,Final,Minnesota Twins,Tanner Houck,Tanner Houck,2022-04-16 - Minnesota Twins (0) @ Boston Red Sox (4) (Final),R,0,Boston Red Sox,663238,Boston Red Sox,4,1,,111,Minnesota Twins,Series tied 1-1,Sonny Gray,[]
,Bailey Ober,N,,Top,Fenway Park,2022-04-17T17:35:00Z,142,2022-04-17,3,9,Final,Minnesota Twins,Michael Wacha,Matt Strahm,2022-04-17 - Minnesota Twins (1) @ Boston Red Sox (8) (Final),R,1,Boston Red Sox,663308,Boston Red Sox,8,1,,111,Minnesota Twins,BOS leads 2-1,Bailey Ober,['MLBN (out-of-market only)']
